,Text,Contact,Geo,IdentNumber,PersonName,OrigText
95,INT: PersonName49' from the police. Hit on this little thing sticking out of the ground.,[],[],[],"{'entity_group': 'PersonName49', 'score': 0.9181370139122009, 'word': 'runnin', 'start': 5, 'end': 11}",INT: Runnin' from the police. Hit on this little thing sticking out of the ground.
111,INT: PersonName20.,[],[],[],"{'entity_group': 'PersonName20', 'score': 0.9129635095596313, 'word': 'gang banging', 'start': 5, 'end': 17}",INT: Gang banging.
206,INT: PersonName2.,[],[],[],"{'entity_group': 'PersonName2', 'score': 0.9716957807540894, 'word': 'uhm, yeah', 'start': 5, 'end': 14}","INT: Uhm, yeah."
978,"INT: Well, PersonName2, we call him PersonName2, but that ain't his real name. But he always go over to the house. See we check out the house roun' about a week or two. See what it's about and see the people and everything and know who they are and see if they some kin to you are somethin'. Then we try to ask for some help or somethin', like if they got bags or somethin', try to ask em so you could get to look in the house.",[],[],[],"{'entity_group': 'PersonName2', 'score': 0.9639009833335876, 'word': 'aname removeda', 'start': 11, 'end': 25}","INT: Well, âname removedã, we call him âname removedã, but that ain't his real name. But he always go over to the house. See we check out the house roun' about a week or two. See what it's about and see the people and everything and know who they are and see if they some kin to you are somethin'. Then we try to ask for some help or somethin', like if they got bags or somethin', try to ask em so you could get to look in the house."
978,"INT: Well, PersonName2, we call him PersonName2, but that ain't his real name. But he always go over to the house. See we check out the house roun' about a week or two. See what it's about and see the people and everything and know who they are and see if they some kin to you are somethin'. Then we try to ask for some help or somethin', like if they got bags or somethin', try to ask em so you could get to look in the house.",[],[],[],"{'entity_group': 'PersonName2', 'score': 0.9866708517074585, 'word': 'aname removeda', 'start': 39, 'end': 53}","INT: Well, âname removedã, we call him âname removedã, but that ain't his real name. But he always go over to the house. See we check out the house roun' about a week or two. See what it's about and see the people and everything and know who they are and see if they some kin to you are somethin'. Then we try to ask for some help or somethin', like if they got bags or somethin', try to ask em so you could get to look in the house."
1196,"INT: Well, see, when we went into the house, we saw these pictures on the wall and it had a plaque on the wall and it said `Awarded to Police Officer PersonName2' but I didn't know the last name, you know. Next thing you know we heard the keys in the door and we knew it was him because his picture was right there by the plaque. So we just ran out. He came right behind us but I don't think he had a weapon out. He was just chasin'us tryin to catch us and I hoped on the bus. Then he didn't follow the bus, he just ran after the other two.",[],[],[],"{'entity_group': 'PersonName2', 'score': 0.9876327514648438, 'word': 'somethin', 'start': 150, 'end': 158}","INT: Well, see, when we went into the house, we saw these pictures on the wall and it had a plaque on the wall and it said `Awarded to Police Officer somethin' but I didn't know the last name, you know. Next thing you know we heard the keys in the door and we knew it was him because his picture was right there by the plaque. So we just ran out. He came right behind us but I don't think he had a weapon out. He was just chasin'us tryin to catch us and I hoped on the bus. Then he didn't follow the bus, he just ran after the other two."
1280,"INTERVIEW 004 - âMonth and PersonName13 removedã, 1989",[],[],[],"{'entity_group': 'PersonName13', 'score': 0.9197912216186523, 'word': 'day', 'start': 27, 'end': 30}","INTERVIEW 004 - âMonth and Day removedã, 1989"
1528,"INT: PersonName2, 40 oz.",[],[],[],"{'entity_group': 'PersonName2', 'score': 0.95402592420578, 'word': 'yeah', 'start': 5, 'end': 9}","INT: Yeah, 40 oz."
1706,"INT: We ask for Bob or PersonName2' like that? And uh then, they say somethin' like uh, he doesn't live here.",[],[],[],"{'entity_group': 'PersonName2', 'score': 0.9551375508308411, 'word': 'somethin', 'start': 23, 'end': 31}","INT: We ask for Bob or somethin' like that? And uh then, they say somethin' like uh, he doesn't live here."
1793,INT: PersonName2.,[],[],[],"{'entity_group': 'PersonName2', 'score': 0.993279755115509, 'word': 'ah yeah', 'start': 5, 'end': 12}",INT: Ah yeah.
